model_name,max_len,batch_size,learing_rate,hidden_dim,dropout,user_embedding_dim,freeze_encoder,filter_few_comments_user,augment_dataset,random_state,best_epoch,best_valence_value,best_arousal_value,best_mean_value
roberta-base,128,16,2e-05,128,0.2,0,False,10,3,300,8,0.7164027622799727,0.5124871446141551,0.614444953447064
roberta-base,128,16,2e-05,128,0.2,0,False,10,6,300,2,0.64964579774224,0.5019172838965223,0.5757815408193812
roberta-base,128,16,2e-05,128,0.2,16,False,0,0,0,3,0.7604414304506378,0.525060989685321,0.6427512100679794
roberta-base,128,16,2e-05,128,0.2,16,False,0,3,0,1,0.6888412631161686,0.5562929396462253,0.6225671013811969
roberta-base,128,16,2e-05,128,0.2,16,False,0,6,0,1,0.7070159806407722,0.5101680005657693,0.6085919906032707
roberta-base,128,16,2e-05,128,0.2,16,False,5,0,0,5,0.7700508729891702,0.5546318578971622,0.6623413654431662
roberta-base,128,16,2e-05,128,0.2,16,False,5,3,0,2,0.7837520160450426,0.520853479962054,0.6523027480035484
roberta-base,128,16,2e-05,128,0.2,16,False,5,6,0,4,0.7642536888295738,0.4726027045776361,0.6184281967036049
roberta-base,128,16,2e-05,128,0.2,16,False,10,0,0,2,0.6977151975163569,0.6268161037722528,0.6622656506443049
roberta-base,128,16,2e-05,128,0.2,16,False,10,3,0,1,0.6597279080792963,0.5327274938350771,0.5962277009571867
roberta-base,128,16,2e-05,128,0.2,16,False,10,6,0,6,0.6752476596869066,0.47137837216810397,0.5733130159275053
roberta-base,128,16,2e-05,128,0.2,16,False,0,0,100,6,0.5934403803651004,0.5025071447911897,0.5479737625781451
roberta-base,128,16,2e-05,128,0.2,16,False,0,3,100,2,0.5706747143519618,0.45768441302299917,0.5141795636874805
roberta-base,128,16,2e-05,128,0.2,16,False,0,6,100,1,0.6015973843083431,0.2760927815829318,0.43884508294563745
roberta-base,128,16,2e-05,128,0.2,16,False,5,0,100,5,0.6550636965522545,0.5027552939071838,0.5789094952297191
roberta-base,128,16,2e-05,128,0.2,16,False,5,3,100,1,0.6503793712782437,0.50497297072147,0.5776761709998568
roberta-base,128,16,2e-05,128,0.2,16,False,5,6,100,2,0.6380991018629211,0.37436083378001206,0.5062299678214666
roberta-base,128,16,2e-05,128,0.2,16,False,10,0,100,7,0.8377343648367734,0.47380223301495217,0.6557682989258629
roberta-base,128,16,2e-05,128,0.2,16,False,10,3,100,2,0.7481205564230321,0.43809396918037036,0.5931072628017012
roberta-base,128,16,2e-05,128,0.2,16,False,10,6,100,3,0.7337200572868341,0.436272057558962,0.5849960574228981
roberta-base,128,16,2e-05,128,0.2,16,False,0,0,200,4,0.6042598929992345,0.466945378325366,0.5356026356623003
roberta-base,128,16,2e-05,128,0.2,16,False,0,3,200,2,0.5701491134817417,0.4630180689304104,0.5165835912060761
roberta-base,128,16,2e-05,128,0.2,16,False,0,6,200,1,0.5903078923889454,0.38010670228279847,0.485207297335872
roberta-base,128,16,2e-05,128,0.2,16,False,5,0,200,3,0.6663541693113303,0.43253683135357085,0.5494455003324505
roberta-base,128,16,2e-05,128,0.2,16,False,5,3,200,1,0.7609120429915788,0.4188465046211542,0.5898792738063665
cardiffnlp/twitter-roberta-base-emotion,128,16,2e-05,128,0.2,0,False,0,0,0,1,0.717269215989762,0.5927469018678858,0.6550080589288239
roberta-base,128,16,2e-05,128,0.2,16,False,5,6,200,2,0.638618287177717,0.4283873239730333,0.5335028055753751
roberta-base,128,16,2e-05,128,0.2,16,False,10,0,200,7,0.709964122012635,0.5281549612510792,0.6190595416318572
cardiffnlp/twitter-roberta-base-emotion,128,16,2e-05,128,0.2,0,False,0,0,0,1,0.717269215989762,0.5927469018678858,0.6550080589288239
cardiffnlp/twitter-roberta-base-emotion,128,16,2e-05,128,0.2,0,False,0,3,0,1,0.7213177638100812,0.5240716610439302,0.6226947124270057
cardiffnlp/twitter-roberta-base-emotion,128,16,2e-05,128,0.2,0,False,0,0,100,7,0.6666105917565651,0.42256688154568445,0.5445887366511248
cardiffnlp/twitter-roberta-base-emotion,128,16,2e-05,128,0.2,0,False,0,3,100,4,0.5437646657000034,0.4074352406272683,0.47559995316363585
cardiffnlp/twitter-roberta-base-emotion,128,16,2e-05,128,0.2,0,False,0,0,200,1,0.5882824199959343,0.4125321680224876,0.500407294009211
cardiffnlp/twitter-roberta-base-emotion,128,16,2e-05,128,0.2,0,False,0,3,200,1,0.5818872088517852,0.4502122484688515,0.5160497286603184
cardiffnlp/twitter-roberta-base-emotion,128,16,2e-05,128,0.2,0,False,0,0,300,5,0.7737069926068212,0.5781847754664361,0.6759458840366286
cardiffnlp/twitter-roberta-base-emotion,128,16,2e-05,128,0.2,0,False,0,3,300,2,0.7202763245258169,0.5925641613346627,0.6564202429302398
cardiffnlp/twitter-roberta-base-emotion,128,16,2e-05,128,0.2,32,False,0,0,0,8,0.6902361800104584,0.5823882260248319,0.6363122030176451
cardiffnlp/twitter-roberta-base-emotion,128,16,2e-05,128,0.2,32,False,10,0,0,8,0.6910173634874535,0.5915623513525574,0.6412898574200054
cardiffnlp/twitter-roberta-base-emotion,128,16,2e-05,128,0.2,32,False,0,3,0,2,0.7300600656500247,0.6345722028778349,0.6823161342639298
cardiffnlp/twitter-roberta-base-emotion,128,16,2e-05,128,0.2,32,False,10,3,0,2,0.658360400125217,0.5736900535998343,0.6160252268625257
cardiffnlp/twitter-roberta-base-emotion,128,16,2e-05,128,0.2,32,False,0,0,100,6,0.6299533088935818,0.38367758103797617,0.506815444965779
cardiffnlp/twitter-roberta-base-emotion,128,16,2e-05,128,0.2,32,False,10,0,100,2,0.7313983605380014,0.5247367505102578,0.6280675555241296
cardiffnlp/twitter-roberta-base-emotion,128,16,2e-05,128,0.2,32,False,0,3,100,1,0.6476904141864015,0.36990262422669584,0.5087965192065487
cardiffnlp/twitter-roberta-base-emotion,128,16,2e-05,128,0.2,32,False,10,3,100,2,0.7628451346539509,0.46768846088714255,0.6152667977705467
cardiffnlp/twitter-roberta-base-emotion,128,16,2e-05,128,0.2,32,False,0,0,200,1,0.605886773466396,0.5592401358283619,0.5825634546473789
cardiffnlp/twitter-roberta-base-emotion,128,16,2e-05,128,0.2,32,False,10,0,200,9,0.7007227103015058,0.5966006173694403,0.648661663835473
cardiffnlp/twitter-roberta-base-emotion,128,16,2e-05,128,0.2,32,False,0,3,200,1,0.6076397695410967,0.4138557294789027,0.5107477495099997
cardiffnlp/twitter-roberta-base-emotion,128,16,2e-05,128,0.2,32,False,10,3,200,2,0.6430794037183258,0.6019031053408946,0.6224912545296102
cardiffnlp/twitter-roberta-base-emotion,128,16,2e-05,128,0.2,32,False,0,0,300,2,0.7540293302358402,0.6117399634174479,0.6828846468266441
cardiffnlp/twitter-roberta-base-emotion,128,16,2e-05,128,0.2,32,False,10,0,300,4,0.7177858765573455,0.4571822144712765,0.587484045514311
cardiffnlp/twitter-roberta-base-emotion,128,16,2e-05,128,0.2,32,False,0,3,300,2,0.7096323580316921,0.5962386436416652,0.6529355008366786
cardiffnlp/twitter-roberta-base-emotion,128,16,2e-05,128,0.2,32,False,10,3,300,7,0.6388288304097265,0.5138929694893734,0.57636089994955
SamLowe/roberta-base-go_emotions,128,16,2e-05,128,0.2,0,False,0,0,0,7,0.7316636854316996,0.6476992052177909,0.6896814453247453
SamLowe/roberta-base-go_emotions,128,16,2e-05,128,0.2,0,False,0,3,0,1,0.7283926189012656,0.5689296472296775,0.6486611330654716
SamLowe/roberta-base-go_emotions,128,16,2e-05,128,0.2,0,False,0,0,100,7,0.6000414907323502,0.4259430462444639,0.5129922684884071
SamLowe/roberta-base-go_emotions,128,16,2e-05,128,0.2,0,False,0,3,100,4,0.5207068971395971,0.33758470421546294,0.42914580067753
SamLowe/roberta-base-go_emotions,128,16,2e-05,128,0.2,0,False,0,0,200,2,0.6046512750042985,0.4484842010839888,0.5265677380441436
SamLowe/roberta-base-go_emotions,128,16,2e-05,128,0.2,0,False,0,3,200,2,0.5916965861350417,0.42855556579574844,0.510126075965395
SamLowe/roberta-base-go_emotions,128,16,2e-05,128,0.2,0,False,0,0,300,5,0.7160844667596282,0.5909160084859284,0.6535002376227783
SamLowe/roberta-base-go_emotions,128,16,2e-05,128,0.2,0,False,0,3,300,1,0.6711659271320246,0.5841753641364956,0.6276706456342601
SamLowe/roberta-base-go_emotions,128,16,2e-05,128,0.2,32,False,10,0,0,9,0.711001405968427,0.5725813983530164,0.6417914021607216
SamLowe/roberta-base-go_emotions,128,16,2e-05,128,0.2,32,False,0,3,0,3,0.7388013035232468,0.5420572303766424,0.6404292669499446
SamLowe/roberta-base-go_emotions,128,16,2e-05,128,0.2,32,False,10,3,0,7,0.6987401859469206,0.5922893804368518,0.6455147831918862
SamLowe/roberta-base-go_emotions,128,16,2e-05,128,0.2,32,False,0,0,100,6,0.6399888152593589,0.4778692859061411,0.55892905058275
SamLowe/roberta-base-go_emotions,128,16,2e-05,128,0.2,32,False,10,0,100,4,0.8314040335203411,0.4953551671102459,0.6633796003152935
SamLowe/roberta-base-go_emotions,128,16,2e-05,128,0.2,32,False,0,3,100,3,0.6409826472432443,0.34375114878750634,0.4923668980153753
SamLowe/roberta-base-go_emotions,128,16,2e-05,128,0.2,32,False,10,3,100,3,0.7431116024542125,0.3967690249003866,0.5699403136772996
SamLowe/roberta-base-go_emotions,128,16,2e-05,128,0.2,32,False,0,0,200,2,0.6012774810835151,0.5017374485905174,0.5515074648370162
SamLowe/roberta-base-go_emotions,128,16,2e-05,128,0.2,32,False,10,0,200,4,0.6860090209481972,0.5745159185501424,0.6302624697491698
SamLowe/roberta-base-go_emotions,128,16,2e-05,128,0.2,32,False,0,3,200,6,0.5658120394351794,0.43087420759428563,0.49834312351473253
SamLowe/roberta-base-go_emotions,128,16,2e-05,128,0.2,32,False,10,3,200,2,0.7086929986326097,0.589806887188181,0.6492499429103953
SamLowe/roberta-base-go_emotions,128,16,2e-05,128,0.2,32,False,0,0,300,1,0.6664226247918016,0.6323033756490908,0.6493630002204462
